ID_Invoice;ID_Produk;ID_Cabang;Tipe_pelanggan;Total;Tanggal;Waktu;Pembayaran;Penilaian
750-67-8428;330001;A;Member;5.489.715;01/05/2019;13:08:00;Ewallet;9.1
226-31-3081;660001;C;Normal;80.22;03/08/2019;10:29:00;Cash;9.6
631-41-3108;220001;A;Normal;3.405.255;03/03/2019;13:23:00;Credit card;7.4
123-19-1176;330002;A;Member;489.048;1/27/2019;20:33:00;Ewallet;8.4
373-73-7910;110001;A;Normal;6.343.785;02/08/2019;10:37:00;Ewallet;5.3
699-14-3026;660002;C;Normal;6.276.165;3/25/2019;18:30:00;Ewallet;4.1
355-53-5943;660003;A;Member;433.692;2/25/2019;14:36:00;Ewallet;5.8
315-22-5665;220002;C;Normal;772.38;2/24/2019;11:38:00;Ewallet;8
665-32-9167;330003;A;Member;76.146;01/10/2019;17:15:00;Credit card;7.2
692-92-5582;440001;B;Member;172.746;2/20/2019;13:27:00;Credit card;5.9
351-62-0822;550001;B;Member;60.816;02/06/2019;18:07:00;Ewallet;4.5
529-56-3974;660004;B;Member;107.142;03/09/2019;17:03:00;Cash;6.8
365-64-0515;660005;A;Normal;2.464.875;02/12/2019;10:25:00;Ewallet;7.1
252-56-2699;440002;A;Normal;453.495;02/07/2019;16:48:00;Ewallet;8.2
829-34-3910;330004;A;Normal;749.49;3/29/2019;19:21:00;Cash;5.7
299-46-1805;110002;B;Member;590.436;1/15/2019;16:19:00;Cash;4.5
656-95-9349;330005;A;Member;5.066.355;03/11/2019;11:03:00;Credit card;4.6
765-26-6951;110003;A;Normal;457.443;01/01/2019;10:39:00;Credit card;6.9
329-62-1586;440003;A;Normal;1.722.105;1/21/2019;18:00:00;Credit card;8.6
319-50-3348;220003;B;Normal;84.63;03/11/2019;15:30:00;Ewallet;4.4
300-71-4605;660006;C;Member;451.71;2/25/2019;11:24:00;Ewallet;4.8
371-85-5789;330006;B;Normal;277.137;03/05/2019;10:40:00;Ewallet;5.1
273-16-6619;220004;B;Normal;69.72;3/15/2019;12:20:00;Credit card;4.4
636-48-8204;660007;A;Normal;181.44;2/17/2019;11:15:00;Ewallet;9.9
549-59-1358;110004;A;Member;2.791.845;03/02/2019;17:36:00;Ewallet;6
227-03-5010;220005;A;Member;441.756;3/22/2019;19:20:00;Credit card;8.5
649-29-6775;550002;B;Normal;35.196;02/08/2019;15:31:00;Cash;6.7
189-17-4241;550003;A;Normal;184.107;03/10/2019;12:17:00;Credit card;7.7
145-94-9061;440004;B;Normal;463.89;1/25/2019;19:48:00;Cash;9.6
848-62-7243;330007;A;Normal;2.352.105;3/15/2019;15:36:00;Cash;7.4
871-79-8483;550004;B;Normal;4.941.825;2/25/2019;19:39:00;Credit card;4.8
149-71-6266;110005;B;Member;7.377.615;1/28/2019;12:43:00;Cash;4.5
640-49-2076;110006;B;Normal;703.752;01/10/2019;14:49:00;Cash;5.1
595-11-5460;330008;A;Normal;202.818;3/15/2019;10:12:00;Credit card;5.1
183-56-6882;440005;C;Member;417.564;02/06/2019;10:42:00;Ewallet;7.5
232-16-2483;110007;C;Member;71.526;01/07/2019;12:28:00;Ewallet;6.8
129-29-8530;110008;A;Member;328.755;03/10/2019;19:15:00;Ewallet;7
